Iteration,[DT]->[A],[DT]->[The],[DT]->[tall],[DT]->[boy],[DT]->[house],[JJ]->[A],[JJ]->[The],[JJ]->[tall],[JJ]->[boy],[JJ]->[house],[NN]->[A],[NN]->[The],[NN]->[tall],[NN]->[boy],[NN]->[house]
0,0.350000,0.350000,0.100000,0.100000,0.100000,0.100000,0.100000,0.600000,0.100000,0.100000,0.100000,0.100000,0.100000,0.350000,0.350000
1,0.361290,0.361290,0.070968,0.103226,0.103226,0.123077,0.123077,0.507692,0.123077,0.123077,0.103226,0.103226,0.070968,0.361290,0.361290
2,0.121991,0.123904,0.027899,0.384761,0.341445,0.087977,0.131424,0.561197,0.087977,0.131424,0.384761,0.341445,0.027899,0.121991,0.123904
3,0.411888,0.323708,0.004739,0.141487,0.118178,0.036163,0.155257,0.617159,0.036163,0.155257,0.141487,0.118178,0.004739,0.411888,0.323708
4,0.150389,0.109811,0.000250,0.437419,0.302131,0.004540,0.187571,0.615779,0.004540,0.187571,0.437419,0.302131,0.000250,0.150389,0.109811
5,0.456051,0.285669,0.000005,0.158258,0.100016,0.000090,0.213353,0.573115,0.000090,0.213353,0.158258,0.100016,0.000005,0.456051,0.285669
6,0.163095,0.093601,0.000000,0.475379,0.267926,0.000000,0.232266,0.535467,0.000000,0.232266,0.475379,0.267926,0.000000,0.163095,0.093601
7,0.486763,0.257479,0.000000,0.167652,0.088107,0.000000,0.242776,0.514447,0.000000,0.242776,0.167652,0.088107,0.000000,0.486763,0.257479
8,0.168601,0.086727,0.000000,0.493470,0.251202,0.000000,0.247370,0.505260,0.000000,0.247370,0.493470,0.251202,0.000000,0.168601,0.086727
9,0.494971,0.249865,0.000000,0.170076,0.085089,0.000000,0.249083,0.501834,0.000000,0.249083,0.170076,0.085089,0.000000,0.494971,0.249865
10,0.169532,0.085576,0.000000,0.496581,0.248311,0.000000,0.249688,0.500624,0.000000,0.249688,0.496581,0.248311,0.000000,0.169532,0.085576
