Iteration,[DT]->[DT],[DT]->[JJ],[DT]->[NN],[DT]->[#],[JJ]->[DT],[JJ]->[JJ],[JJ]->[NN],[JJ]->[#],[NN]->[DT],[NN]->[JJ],[NN]->[NN],[NN]->[#],[#]->[DT],[#]->[JJ],[#]->[NN],[#]->[#]
0,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
1,0.123754,0.130070,0.044575,0.636364,0.349560,0.206993,0.109091,0.181818,0.320235,0.416783,0.123754,0.181818,0.206452,0.246154,0.722581,0.000000
2,0.094240,0.464631,0.217095,0.208178,0.141884,0.167078,0.442769,0.177008,0.037671,0.148889,0.094240,0.614814,0.726205,0.219401,0.245896,0.000000
3,0.067545,0.182448,0.026062,0.626327,0.510578,0.080727,0.170798,0.152579,0.162212,0.545405,0.067545,0.221093,0.259665,0.191421,0.735596,0.000000
4,0.049301,0.591460,0.122196,0.219701,0.192712,0.015865,0.568303,0.155858,0.018436,0.200565,0.049301,0.624441,0.739550,0.192111,0.260200,0.000000
5,0.032306,0.199881,0.011695,0.603608,0.626710,0.002074,0.214278,0.186209,0.082710,0.584603,0.032306,0.210182,0.258274,0.213442,0.741721,0.000000
6,0.017232,0.571730,0.044360,0.201023,0.233259,0.000377,0.681712,0.216882,0.006205,0.195627,0.017232,0.582095,0.743304,0.232266,0.256696,0.000000
7,0.007434,0.193132,0.002646,0.568632,0.717449,0.000093,0.245678,0.235959,0.019359,0.563999,0.007434,0.195410,0.255758,0.242776,0.744242,0.000000
8,0.002792,0.560641,0.007240,0.192825,0.251538,0.000027,0.734640,0.244794,0.000998,0.191962,0.002792,0.562380,0.744672,0.247370,0.255328,0.000000
9,0.000981,0.191540,0.000348,0.559987,0.741292,0.000009,0.253835,0.248173,0.002562,0.559368,0.000981,0.191840,0.255165,0.249083,0.744835,0.000000
10,0.000336,0.558923,0.000872,0.191490,0.254652,0.000003,0.743684,0.249377,0.000120,0.191386,0.000336,0.559133,0.744892,0.249688,0.255108,0.000000
11,0.000114,0.191336,0.000040,0.558841,0.744498,0.000001,0.254935,0.249788,0.000298,0.558769,0.000114,0.191371,0.255089,0.249894,0.744911,0.000000
12,0.000039,0.558716,0.000100,0.191332,0.255032,0.000000,0.744777,0.249928,0.000014,0.191320,0.000039,0.558740,0.744916,0.249964,0.255084,0.000000
13,0.000013,0.191315,0.000005,0.558705,0.744869,0.000000,0.255066,0.249976,0.000034,0.558697,0.000013,0.191319,0.255084,0.249988,0.744916,0.000000
14,0.000004,0.558690,0.000011,0.191316,0.255079,0.000000,0.744899,0.249992,0.000002,0.191314,0.000004,0.558692,0.744915,0.249996,0.255085,0.000000
15,0.000001,0.191315,0.000001,0.558687,0.744908,0.000000,0.255084,0.249997,0.000004,0.558686,0.000001,0.191316,0.255086,0.249999,0.744914,0.000000
16,0.000001,0.558684,0.000001,0.191316,0.255087,0.000000,0.744910,0.249999,0.000000,0.191316,0.000001,0.558685,0.744912,0.250000,0.255088,0.000000
17,0.000000,0.191317,0.000000,0.558683,0.744910,0.000000,0.255090,0.250000,0.000000,0.558683,0.000000,0.191317,0.255090,0.250000,0.744910,0.000000
18,0.000000,0.558681,0.000000,0.191319,0.255092,0.000000,0.744908,0.250000,0.000000,0.191319,0.000000,0.558681,0.744908,0.250000,0.255092,0.000000
19,0.000000,0.191320,0.000000,0.558680,0.744907,0.000000,0.255093,0.250000,0.000000,0.558680,0.000000,0.191320,0.255093,0.250000,0.744907,0.000000
20,0.000000,0.558679,0.000000,0.191321,0.255095,0.000000,0.744905,0.250000,0.000000,0.191321,0.000000,0.558679,0.744905,0.250000,0.255095,0.000000
21,0.000000,0.191323,0.000000,0.558677,0.744903,0.000000,0.255097,0.250000,0.000000,0.558677,0.000000,0.191323,0.255097,0.250000,0.744903,0.000000
22,0.000000,0.558676,0.000000,0.191324,0.255099,0.000000,0.744901,0.250000,0.000000,0.191324,0.000000,0.558676,0.744901,0.250000,0.255099,0.000000
23,0.000000,0.191325,0.000000,0.558675,0.744899,0.000000,0.255101,0.250000,0.000000,0.558675,0.000000,0.191325,0.255101,0.250000,0.744899,0.000000
24,0.000000,0.558673,0.000000,0.191327,0.255102,0.000000,0.744898,0.250000,0.000000,0.191327,0.000000,0.558673,0.744898,0.250000,0.255102,0.000000
25,0.000000,0.191328,0.000000,0.558672,0.744896,0.000000,0.255104,0.250000,0.000000,0.558672,0.000000,0.191328,0.255104,0.250000,0.744896,0.000000
26,0.000000,0.558671,0.000000,0.191329,0.255106,0.000000,0.744894,0.250000,0.000000,0.191329,0.000000,0.558671,0.744894,0.250000,0.255106,0.000000
27,0.000000,0.191331,0.000000,0.558669,0.744892,0.000000,0.255108,0.250000,0.000000,0.558669,0.000000,0.191331,0.255108,0.250000,0.744892,0.000000
28,0.000000,0.558668,0.000000,0.191332,0.255109,0.000000,0.744891,0.250000,0.000000,0.191332,0.000000,0.558668,0.744891,0.250000,0.255109,0.000000
29,0.000000,0.191333,0.000000,0.558667,0.744889,0.000000,0.255111,0.250000,0.000000,0.558667,0.000000,0.191333,0.255111,0.250000,0.744889,0.000000
30,0.000000,0.558665,0.000000,0.191335,0.255113,0.000000,0.744887,0.250000,0.000000,0.191335,0.000000,0.558665,0.744887,0.250000,0.255113,0.000000
31,0.000000,0.191336,0.000000,0.558664,0.744885,0.000000,0.255115,0.250000,0.000000,0.558664,0.000000,0.191336,0.255115,0.250000,0.744885,0.000000
32,0.000000,0.558663,0.000000,0.191337,0.255117,0.000000,0.744883,0.250000,0.000000,0.191337,0.000000,0.558663,0.744883,0.250000,0.255117,0.000000
33,0.000000,0.191339,0.000000,0.558661,0.744882,0.000000,0.255118,0.250000,0.000000,0.558661,0.000000,0.191339,0.255118,0.250000,0.744882,0.000000
34,0.000000,0.558660,0.000000,0.191340,0.255120,0.000000,0.744880,0.250000,0.000000,0.191340,0.000000,0.558660,0.744880,0.250000,0.255120,0.000000
